an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-mate-info-barem.pdf,bac/2012/matematica/sesiune-iunie-iulie/2012-iunie-iulie-mate-info-barem.pdf,138485,9f096575c739c34c2043e41516966edf3fb147ee880b296f0e664f88e3bfdf07
2012,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-mate-info-subiect.pdf,bac/2012/matematica/sesiune-iunie-iulie/2012-iunie-iulie-mate-info-subiect.pdf,103177,a54a4481c5f51381d550dc1db12e635bc964d73f0f12953d379413a19da29402
2012,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-pedagogic-barem.pdf,bac/2012/matematica/sesiune-iunie-iulie/2012-iunie-iulie-pedagogic-barem.pdf,124781,1ce80ab63b822ac212e7c5ca24fe69838fd22a96e62de4abacff86b5b22bf765
2012,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-pedagogic-subiect.pdf,bac/2012/matematica/sesiune-iunie-iulie/2012-iunie-iulie-pedagogic-subiect.pdf,98674,1fd69fa5f6973f4eba98c0a4d0f77e5f7e64afe0c947c392e6e13c24fee55b83
2012,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-stiinte-naturii-tehnologic-barem.pdf,bac/2012/matematica/sesiune-iunie-iulie/2012-iunie-iulie-stiinte-naturii-tehnologic-barem.pdf,131652,d085b6d7eb946f8b3d1aaa986af4df292a9b3b5807fb02142e30c819959cdfe8
2012,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-stiinte-naturii-tehnologic-subiect.pdf,bac/2012/matematica/sesiune-iunie-iulie/2012-iunie-iulie-stiinte-naturii-tehnologic-subiect.pdf,105389,e08f9ce2a91c438bdde4d018281fc7dd4b86d3b00b01f6652dd5238576ed0b29
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-mate-info-barem.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-mate-info-barem.pdf,60477,f276a31db45364af6940c206b909dd0fafcd48cd50bee0bc227a99bf7aaaae2e
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-mate-info-subiect.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-mate-info-subiect.pdf,52670,f0629f1ee4e200fb2815036ef09f78fd64f4635e38afb27bed9801a18c2f6cb0
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-pedagogic-barem.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-pedagogic-barem.pdf,54415,b0ab1ee3276be22b2f2a15ff840ecb310e0d4077ba56b9fae6d79e9349958246
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-pedagogic-subiect.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-pedagogic-subiect.pdf,50954,a602aba87db317198d94cd401e348101ae88a7ed4a5288f33e0f2db3ce498a3b
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-stiinte-naturii-barem.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-stiinte-naturii-barem.pdf,60257,5f1f0a85b96317e2dbac6fd1f400ab383aae766f09866d4493c6f36cb2f29a28
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-stiinte-naturii-subiect.pdf,52370,0dde3b0851945582f8f282a69da7fa6353838dfc2a4670d4b520eb7ae47705fa
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-tehnologic-barem.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-tehnologic-barem.pdf,56962,b03d4388ebdd0c94d80d3aa11f3c5b122a3195c09490677a4cfe84872bec7b99
2013,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-tehnologic-subiect.pdf,bac/2013/matematica/sesiune-iunie-iulie/2013-iunie-iulie-tehnologic-subiect.pdf,51281,ad3d4a5a26a57a471ff23eb2cf47231cfe200bc016f3e570d859abb6ee67ac7f
2013,matematica,Matematica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-mate-info-barem.pdf,bac/2013/matematica/sesiune-speciala/2013-speciala-mate-info-barem.pdf,139939,2dfaeeec81fa8e386ac083e8e46d6812ce9a9056529abcdc0cc686c829a784cc
2013,matematica,Matematica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-mate-info-subiect.pdf,bac/2013/matematica/sesiune-speciala/2013-speciala-mate-info-subiect.pdf,106456,8ca65a5402fa44f1b5dbc872179cdd43b9d1bfd80f2a82031076d7d634c5235d
2013,matematica,Matematica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-stiinte-naturii-barem.pdf,bac/2013/matematica/sesiune-speciala/2013-speciala-stiinte-naturii-barem.pdf,118024,ae0fcfa80b990b60a05449afa7ebc5c8d334b9ada47f22ca313140022bec56c4
2013,matematica,Matematica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-stiinte-naturii-subiect.pdf,bac/2013/matematica/sesiune-speciala/2013-speciala-stiinte-naturii-subiect.pdf,105749,9f91aeef6cf58cc56ada612825d421b580820854553c171ac35aee9c226863bf
2013,matematica,Matematica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-tehnologic-barem.pdf,bac/2013/matematica/sesiune-speciala/2013-speciala-tehnologic-barem.pdf,131073,527ef6a9571236f64f0e8e5377b11992d8638980e664fb832694e90d83f1cfc9
2013,matematica,Matematica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-tehnologic-subiect.pdf,bac/2013/matematica/sesiune-speciala/2013-speciala-tehnologic-subiect.pdf,102984,0a46ab0f61a5cc4a3906c4eab9e64b0e5e4132b0b6d28455480ff38b7ebba33f
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-mate-info-barem.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-mate-info-barem.pdf,63546,a1a278edb1a9733b2a803b2333525362e01895dcbe2383e638b092bd91c51bc8
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-mate-info-subiect.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-mate-info-subiect.pdf,54772,8483bdf4bfdfc794c4bb6ecde98211123cf9cf95737c1f6c2625dd54db5eb9bb
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-pedagogic-barem.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-pedagogic-barem.pdf,57728,f414cae3331cc8f8e5b4616c386f1aa1c5da8ee0cdf296566419ac0970910f2b
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-pedagogic-subiect.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-pedagogic-subiect.pdf,55188,7b607630c1ac789557fc7cadb7cdec35b9f7576aa1f09eeda6471549d761b9b2
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-stiinte-naturii-barem.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-stiinte-naturii-barem.pdf,63258,00ec62c56d4de2a793f4852a8c40efd69c6c238dcbcd5b8210378d4b2f89ac0d
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-stiinte-naturii-subiect.pdf,55408,46ec9e4b5550c71a5ebfd795dd82810e85ea4ac893eca153d5dbaf47101861de
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-tehnologic-barem.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-tehnologic-barem.pdf,58721,c30d555156b230b57358d3713d89c2627db5c83dfb9abc675dd580a7cca22c7b
2014,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-tehnologic-subiect.pdf,bac/2014/matematica/sesiune-iunie-iulie/2014-iunie-iulie-tehnologic-subiect.pdf,53012,6054f200d91d41d1b1502e94ec0ecd4615b65177824133594f5024bfcd7ae71a
2014,matematica,Matematica,simulare,Simulare,barem,2014-simulare-mate-info-barem.pdf,bac/2014/matematica/simulare/2014-simulare-mate-info-barem.pdf,62196,62828d4cbc084e64b4ee56be8d8f11991832178b1a995f110f3ead4241431d9a
2014,matematica,Matematica,simulare,Simulare,subiect,2014-simulare-mate-info-subiect.pdf,bac/2014/matematica/simulare/2014-simulare-mate-info-subiect.pdf,55188,55716d285ea571da0b2d0dc2743283cbf005b8ff905a2aa0bc169f40df1bd15d
2014,matematica,Matematica,simulare,Simulare,barem,2014-simulare-pedagogic-barem.pdf,bac/2014/matematica/simulare/2014-simulare-pedagogic-barem.pdf,58976,a649f8f5676c66fecc669903d38004053e59ac1686011deb52c77e3284a1a7a9
2014,matematica,Matematica,simulare,Simulare,subiect,2014-simulare-pedagogic-subiect.pdf,bac/2014/matematica/simulare/2014-simulare-pedagogic-subiect.pdf,53302,1dc87d4798600edcdd2ffd9effc7625103973660f455213bb3b490b74ce0416b
2014,matematica,Matematica,simulare,Simulare,barem,2014-simulare-stiinte-naturii-barem.pdf,bac/2014/matematica/simulare/2014-simulare-stiinte-naturii-barem.pdf,62964,46680387568356263bd266a3370ff7b9283790b62bf31959bc8bd5b432998da3
2014,matematica,Matematica,simulare,Simulare,subiect,2014-simulare-stiinte-naturii-subiect.pdf,bac/2014/matematica/simulare/2014-simulare-stiinte-naturii-subiect.pdf,53085,bf8f808255b7cab60b908ee857d35b8f8cf8f66bc90d4c4badf59bfc37259028
2014,matematica,Matematica,simulare,Simulare,barem,2014-simulare-tehnologic-barem.pdf,bac/2014/matematica/simulare/2014-simulare-tehnologic-barem.pdf,59103,e9c41c15963966c05a544712395fd85cd25bf58f887e7c9780388cf78d272609
2014,matematica,Matematica,simulare,Simulare,subiect,2014-simulare-tehnologic-subiect.pdf,bac/2014/matematica/simulare/2014-simulare-tehnologic-subiect.pdf,53121,fe3590618d5a4891f8705ff9b8039f2fc031b505baba59fb1d3047e55c0005a1
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-mate-info-barem.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-mate-info-barem.pdf,63978,167716ca0cdb5f0cb3cb6e1666482223c526c5b718c41c1e15a108ba38a93cd3
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-mate-info-subiect.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-mate-info-subiect.pdf,56299,cfc1862bc6a1b61977007fc8671eda932881011f538b4ceeb1a48bc7e2a4a986
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-pedagogic-barem.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-pedagogic-barem.pdf,61932,c0adeb3447ef95d196b061f87690a065a796f6c3f5d6f16b56b44965df7eedee
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-pedagogic-subiect.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-pedagogic-subiect.pdf,53336,95f65d0027ff75a7a830f020cdf5908df069a0cb271f80b95b3642780c4dba34
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-stiinte-naturii-barem.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-stiinte-naturii-barem.pdf,62543,8c36723fd741e9564902c13d2f2d5921ddad075062ccc5a6f4af2f7311052cd3
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-stiinte-naturii-subiect.pdf,56277,8d8281387a7a7ce829d4919078b95d83977f638f1e8062c2f149178270e58af9
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-tehnologic-barem.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-tehnologic-barem.pdf,61234,b7d1033ea61a244c269a9131fd9a8aab89599e42229d00463602f702a76128ae
2015,matematica,Matematica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-tehnologic-subiect.pdf,bac/2015/matematica/sesiune-iunie-iulie/2015-iunie-iulie-tehnologic-subiect.pdf,55751,1a59e7ce1b9ba710a87dd7334ce271740ce6423d5d3dc121e2719b844bb3a353
2015,matematica,Matematica,simulare,Simulare,barem,2015-simulare-mate-info-barem.pdf,bac/2015/matematica/simulare/2015-simulare-mate-info-barem.pdf,65239,e9f54aaf0d65a5368775934c704956159f514328567a864c01a84a702bc4f687
2015,matematica,Matematica,simulare,Simulare,subiect,2015-simulare-mate-info-subiect.pdf,bac/2015/matematica/simulare/2015-simulare-mate-info-subiect.pdf,55903,8297b87ebfdbd132ac9cb44c9a1086637223f3ccd348dcf12a2cbce56725fe07
