an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2022,romana,Limba romana,model,Model,barem,2022-model-real-tehnologic-barem.pdf,bac/2022/romana/model/2022-model-real-tehnologic-barem.pdf,106066,fa06845af1c31c0724107e9d748c3470d3c2797118d103f991c46d76e1fdfbd0
2022,romana,Limba romana,model,Model,subiect,2022-model-real-tehnologic-subiect.pdf,bac/2022/romana/model/2022-model-real-tehnologic-subiect.pdf,111681,f74b87040815820f6d9d58014abea62d8239891ea0438caef03cfef7935b7810
2022,romana,Limba romana,model,Model,barem,2022-model-uman-pedagogic-barem.pdf,bac/2022/romana/model/2022-model-uman-pedagogic-barem.pdf,104774,0b65977ca7207cf700aaf4640463d08c17ba9815179476f1261e5e16db654801
2022,romana,Limba romana,model,Model,subiect,2022-model-uman-pedagogic-subiect.pdf,bac/2022/romana/model/2022-model-uman-pedagogic-subiect.pdf,122655,c7374f6475221b1a4478ea09771c0336c53bfec95662e9d21701f644cea02060
2022,romana,Limba romana,rezerva-iunie,Rezerva iunie,barem,2022-iunie-rezerva-real-tehnologic-barem.pdf,bac/2022/romana/rezerva-iunie/2022-iunie-rezerva-real-tehnologic-barem.pdf,186817,86da958670725c67a3a61a8feb90f94ee215699325a6588553f283ca04599376
2022,romana,Limba romana,rezerva-iunie,Rezerva iunie,subiect,2022-iunie-rezerva-real-tehnologic-subiect.pdf,bac/2022/romana/rezerva-iunie/2022-iunie-rezerva-real-tehnologic-subiect.pdf,210638,65732758650e919ec1b2cc52a94b5d5b43e162363de0fb0dc3d220fc63503777
2022,romana,Limba romana,rezerva-iunie,Rezerva iunie,barem,2022-iunie-rezerva-uman-pedagogic-barem.pdf,bac/2022/romana/rezerva-iunie/2022-iunie-rezerva-uman-pedagogic-barem.pdf,185374,aa4c071e48f93cbe556137b4120f4a40930db193a2ab3969d1260b851da545dc
2022,romana,Limba romana,rezerva-iunie,Rezerva iunie,subiect,2022-iunie-rezerva-uman-pedagogic-subiect.pdf,bac/2022/romana/rezerva-iunie/2022-iunie-rezerva-uman-pedagogic-subiect.pdf,209370,105a3ca1d71efdd341233d4a053767140662a4b6853cfb17369ca7605e6b59cb
2022,romana,Limba romana,sesiune-august,Sesiunea august,barem,2022-august-real-tehnologic-barem.pdf,bac/2022/romana/sesiune-august/2022-august-real-tehnologic-barem.pdf,185536,0d8533bc8ee31ae22b5047e55777fe6323e09f4d9937d95162f03e38ead30642
2022,romana,Limba romana,sesiune-august,Sesiunea august,subiect,2022-august-real-tehnologic-subiect.pdf,bac/2022/romana/sesiune-august/2022-august-real-tehnologic-subiect.pdf,184304,ffd0f4d27a5e29ce88db2138121fb4e3d3ce90b6b33f2b2646abeb459fcfd39f
2022,romana,Limba romana,sesiune-august,Sesiunea august,barem,2022-august-uman-pedagogic-barem.pdf,bac/2022/romana/sesiune-august/2022-august-uman-pedagogic-barem.pdf,184548,967472097447d9456b53acbf3ce210a065169dbb460df9e0ec67b3819c015aaf
